,date,notes,name
7324,2016-03-26,rest (DTD),tonyparker
7325,2016-03-26,rest (DTD),emanuelginobilimanuginobili
7326,2016-03-26,rest (DTD),lamarcusaldridge
7327,2016-03-26,upset stomach (DTD),jonleuer
7329,2016-03-27,strained right Achilles tendon (out for season),richaunholmes
7330,2016-03-27,sore right foot (out for season),marcobelinelli
7332,2016-03-27,rest (DTD),shaunlivingston
7333,2016-03-27,sore groin (DTD) (Y),alananderson
7334,2016-03-27,strained right calf (DTD),markieffmorris
7335,2016-03-28,sore knee (DTD),jeramigrant
7337,2016-03-28,rest (DTD),demarcuscousins
7338,2016-03-28,rest (DTD),rajonrondo
7339,2016-03-28,rest (DTD),rudygay
7340,2016-03-28,sore knee (DTD),larrynancejr
7343,2016-03-28,rest (DTD),davidwest
7347,2016-03-29,bruised right knee (DTD),jeramigrant
7349,2016-03-29,sprained right ankle (DTD),paulpierce
7350,2016-03-29,sore lower back (DTD),jeremylin
7352,2016-03-29,torn right quadricep (out for season),alonzogee
7353,2016-03-29,fractured right interior orbital wall (out for season),jrueholiday
7354,2016-03-29,rest (DTD),kevindurant
7355,2016-03-29,bruised right knee (DTD),brandonrush
7360,2016-03-30,bruised right quadriceps (out for season),josecalderon
7361,2016-03-30,strained/sore right shoulder (out for season),kristapsporzingis
7362,2016-03-30,sore left knee (DTD),luisscola
7365,2016-03-30,upset stomach (DTD),mirzateletovic
7367,2016-03-31,bruised (P Y) / fractured (CBC) ribs (out for season),tajgibson
7368,2016-03-31,rest (DTD),chrispaul
7369,2016-03-31,rest (DTD),deandrejordan
7370,2016-03-31,rest (DTD),jjredick
7372,2016-03-31,rest (DTD),brooklopez
7374,2016-04-01,hyperextended right knee (out for season),jerrydbayless
7375,2016-04-01,rest (DTD),jaecrowder
7376,2016-04-01,sore neck (DTD),dwyanewade
7378,2016-04-01,sore right knee (DTD),derrickfavors
7379,2016-04-01,strained right groin (DTD),raymondfelton
7380,2016-04-01,rest (DTD),bojanbogdanovic
7381,2016-04-01,sports hernia (out for season),brandonknight
7382,2016-04-01,sprained right ankle (DTD),jonleuer
7385,2016-04-02,rest (DTD),rajonrondo
7386,2016-04-02,sore knee (out for season),darrellarthur
7388,2016-04-02,rest (DTD),demarcuscousins
7389,2016-04-03,strained left thigh (DTD),khrismiddleton
7394,2016-04-03,rest (DTD),carmeloanthony
7397,2016-04-03,rib injury (DTD),andrewbogut
7398,2016-04-03,strained left groin (DTD),pjhairston
7399,2016-04-04,sore right adductor (DTD),borisdiaw
7402,2016-04-05,eye injury (DTD),evanturner
7404,2016-04-05,rest (DTD),darrencollison
7405,2016-04-05,rest (DTD),kostakoufos
7406,2016-04-05,rest (DTD),rudygay
7408,2016-04-05,sprained right ankle (DTD),jonleuer
7411,2016-04-06,rest (DTD),jamalcrawford
7413,2016-04-06,rest (DTD),kevindurant
7414,2016-04-06,rest (DTD),nazrmohammed
7415,2016-04-06,rest (DTD),russellwestbrook
7416,2016-04-06,rest (DTD),sergeibaka
7417,2016-04-06,foot injury (DTD),wesleyjohnsonwesjohnson
7418,2016-04-07,right knee injury (DTD),kentbazemore
7419,2016-04-07,rest (DTD),demarcuscousins
7420,2016-04-07,rest (DTD),rajonrondo
7424,2016-04-07,concussion (DTD),aarongordon
7426,2016-04-08,sore/strained lower back (out for season),carllandry
7427,2016-04-08,torn labrum in left shoulder (out for season),isaiahcanaan
7428,2016-04-08,left knee injury (DTD),mauricewilliamsmowilliams
7429,2016-04-08,rest (DTD),blakegriffin
7430,2016-04-08,rest (DTD),chrispaul
7431,2016-04-08,rest (DTD),deandrejordan
7432,2016-04-08,rest (DTD),jjredick
7433,2016-04-08,surgery on right knee (out indefinitely),jordanadams
7435,2016-04-08,rest (DTD),kennethfaried
7436,2016-04-08,rest (DTD),kylelowry
7437,2016-04-08,rest (DTD),luisscola
7438,2016-04-08,rest (DTD),tonyparker
7439,2016-04-08,rest (DTD),dannygreen
7440,2016-04-08,rest (DTD),kawhileonard
7441,2016-04-08,rest (DTD),lamarcusaldridge
7442,2016-04-08,surgery to repair sports hernia (out for season),brandonknight
7443,2016-04-09,surgery on left shoulder (out for season),meyersleonard
7444,2016-04-09,left hamstring injury (DTD),etwaunmoore
7445,2016-04-09,sore left knee (DTD),imanshumpert
7446,2016-04-09,sore left hamstring (DTD),tonyallen
7448,2016-04-09,rest (DTD),rajonrondo
7450,2016-04-09,left hip pointer (DTD),delonwright
7451,2016-04-09,recovering from surgery to repair sports hernia (out for season),brandonknight
7455,2016-04-10,right knee injury (DTD),derrickfavors
7456,2016-04-10,concussion (DTD),victoroladipo
7457,2016-04-10,strained right groin (DTD),josejuanbareajosebareajjbarea
7459,2016-04-10,rest (DTD),jamesjohnson
7464,2016-04-11,rest (DTD),derrickrose
7465,2016-04-11,left hamstring injury (out for season),etwaunmoore
7466,2016-04-11,knee injury / rest (out for season),paugasol
7467,2016-04-11,left knee injury (DTD),imanshumpert
7469,2016-04-11,rest (out for season),darrencollison
7470,2016-04-11,rest (DTD),rajonrondo
7471,2016-04-11,right groin injury (DTD),nikolavucevic
7473,2016-04-11,sore right knee (out for season),thomasrobinson
7474,2016-04-11,right shoulder injury (out for season),alexisajincaalexajinca
7475,2016-04-11,surgery to repair fractured right interior orbital wall (out indefinitely),jrueholiday
7476,2016-04-11,recovering from surgery to repair fractured right interior orbital wall (out for season),jrueholiday
7477,2016-04-11,sprained left ankle (DTD),archiegoodwin
7478,2016-04-11,concussion (out for season),tysonchandler
7479,2016-04-11,undisclosed (DTD),nenenenehilariomaybynerhilario
7480,2016-04-12,sprained left ankle (DTD),justisewinslow
7481,2016-04-12,strained abdominal muscle (DTD),reggiejackson(b)
7482,2016-04-12,rest (DTD),russellwestbrook
7483,2016-04-13,knee injury (out for season),nikstauskas
7484,2016-04-13,strained abdominal (DTD),chriskaman
7485,2016-04-13,rest (DTD),derrickrose
7486,2016-04-13,rest (DTD),mikedunleavyjr
7487,2016-04-13,rest (DTD),jrsmith
7488,2016-04-13,rest (DTD),kevinlove
7489,2016-04-13,rest (DTD),kyrieirving
7490,2016-04-13,rest (DTD),lebronjames
7491,2016-04-13,rest (DTD),blakegriffin
7492,2016-04-13,rest (DTD),chrispaul
7493,2016-04-13,rest (DTD),deandrejordan
7494,2016-04-13,foot injury (DTD),udonishaslem
7496,2016-04-13,sore right knee (out for season),alecburks
7497,2016-04-13,sore right knee (out for season),derrickfavors
7498,2016-04-13,rest (DTD),caronbutler
7499,2016-04-13,rest (DTD),rajonrondo
7500,2016-04-13,rest (out for season),rudygay
7502,2016-04-13,sprained left thumb (out for season),devinharris
7503,2016-04-13,strained right groin (DTD),josejuanbareajosebareajjbarea
7504,2016-04-13,back injury (out for season),joffreylauvergne
7506,2016-04-13,rest (DTD),georgehill
7507,2016-04-13,rest (DTD),montaellis
7508,2016-04-13,rest (DTD),paulgeorge
7509,2016-04-13,illness (out for season),lukebabbitt
7510,2016-04-13,rest (DTD),andredrummond
7511,2016-04-13,rest (DTD),kentaviouscaldwellpope
7512,2016-04-13,rest (out for season),marcusmorris
7513,2016-04-13,rest (DTD),tobiasharris
7514,2016-04-13,rest (DTD),demarderozan
7515,2016-04-13,rest (DTD),jonasvalanciunas
7516,2016-04-13,rest (DTD),kylelowry
7517,2016-04-13,rest (DTD),luisscola
7518,2016-04-13,rest (DTD),tonyparker
7519,2016-04-13,rest (DTD),davidwest
7520,2016-04-13,rest (DTD),kawhileonard
7521,2016-04-13,rest (DTD),lamarcusaldridge
7523,2016-04-13,rest (DTD),marcingortat
7524,2016-04-14,plantar faciitis in right foot/heel (DTD),davidlee
7530,2016-04-16,sprained right ankle (DTD),stephencurry
7541,2016-04-18,strained right groin (DTD),josejuanbareajosebareajjbarea
7542,2016-04-18,sore right hip (DTD) (Y),cameronpayne
7543,2016-04-20,strained left foot (DTD),nicolasbatum
7544,2016-04-21,sports hernia (DTD),deronwilliams
7547,2016-04-22,sore left foot (out for season),jarellmartin
7550,2016-04-24,sports hernia (out for season),deronwilliams
7551,2016-04-25,fractured right hand (out for season),chrispaul
7552,2016-04-25,plantar fasciitis in right foot/heel (out for season),davidlee
7553,2016-04-25,strained right hip (out for season),salahmejri
7554,2016-04-25,sprained MCL in right knee (DTD),stephencurry
7555,2016-04-26,left quadriceps injury (out for season),blakegriffin
7556,2016-04-26,surgery on right hand to repair fracture (out for season),chrispaul
7557,2016-04-28,sprained MCL in right knee (out for season),spencerhawes
7558,2016-05-01,back spasms (out for season),tylerhansbrough
7559,2016-05-05,surgery on left knee to remove calcium deposits (out indefinitely),johnwall(a)
7560,2016-05-07,sprained MCL in right knee (out for season),hassanwhiteside
7561,2016-05-07,sprained right ankle (DTD),jonasvalanciunas
7562,2016-05-09,surgery on left knee to repair torn meniscus (out for season),kembawalker
7563,2016-05-10,surgery on left big toe and left thumb (out for season),devinharris
7564,2016-05-12,bruised left wrist (DTD),luoldeng
7565,2016-05-17,surgery on right shoulder (out indefinitely),kellyolynyk
7567,2016-06-05,concussion (DTD),kevinlove
7568,2016-06-08,arthroscopic surgery on left knee and ankle to remove loose bodies (out indefinitely),alecburks
7569,2016-06-15,left knee injury (out for season),andrewbogut
7570,2016-06-29,surgery to repair air pocket in lung (out indefinitely),frankkaminsky
7571,2016-06-30,arthroscopic surgery on knee to remove debris (out indefinitely),salahmejri
7572,2016-07-06,fractured right hand (out indefinitely),cjwatson
7573,2016-07-08,surgery on right hand to repair fracture (out indefinitely),cjwatson
7574,2016-07-19,surgery on right foot (out indefinitely),jodiemeeks
7575,2016-07-25,surgery on right foot to repair fracture (out indefinitely),cameronpayne
7576,2016-08-02,arthroscopic surgery on right shoulder to repair torn labrum (out indefinitely),delonwright
7577,2016-08-31,surgery on right thigh to remove bone fragment (out indefinitely),noahvonleh
7578,2016-09-08,partially torn MCL in right knee (out indefinitely),joshrichardson
7579,2016-09-15,surgery on lower back (out indefinitely),pjtucker
7580,2016-09-21,torn left hamstring (out indefinitely),khrismiddleton
7581,2016-09-22,procedure on right knee to reduce swelling (out indefinitely),paulmillsap
7582,2016-09-26,sore right ankle (out for season),nikolapekovic
7583,2016-09-29,surgery to repair torn left hamstring (out indefinitely),khrismiddleton
7584,2016-10-01,fractured right foot (out for season),bensimmons
7586,2016-10-04,surgery on right foot to repair fracture (out for season),bensimmons
7587,2016-10-04,sprained ankle (DTD),denzelvalentine
7588,2016-10-04,sore right foot (out for season),nikolapekovic
7589,2016-10-05,partially torn right groin muscle (out indefinitely),garyharris
7590,2016-10-05,left knee tendinitis (out indefinitely),reggiejackson(b)
7591,2016-10-06,bone bruise in right knee (out indefinitely),codyzeller
7592,2016-10-07,fractured left ring finger (out indefinitely),gordonhayward
7593,2016-10-08,herniated disc in lower back (out indefinitely),bricejohnson
7594,2016-10-10,sprained right thumb (out indefinitely),reggiejackson(b)
7595,2016-10-11,strained right hamstring (out indefinitely),tiagosplitter
7596,2016-10-12,sprained ankle (DTD),anthonydavis
7597,2016-10-12,tightness in hamstring (DTD),clintcapela
7598,2016-10-12,strained left shoulder (DTD),pabloprigioni
7599,2016-10-12,left knee tendinitis (DTD),brandonknight
7600,2016-10-12,strained abdominal (DTD),johnjenkins
7601,2016-10-12,concussion (DTD),ronnieprice
7603,2016-10-15,ankle injury (DTD),alananderson
7604,2016-10-15,sore right ankle (DTD),marcgasol
7605,2016-10-15,right groin injury / strained right hip (DTD),lukebabbitt
7606,2016-10-15,sprained left ankle (DTD),okarowhite
7607,2016-10-15,fractured left orbital bone (out indefinitely),chassonrandle
7608,2016-10-15,sore left groin (DTD),kristapsporzingis
7609,2016-10-15,tightness in lower back (DTD),aronbaynes
7610,2016-10-15,surgery on left knee to repair torn medial meniscus (out indefinitely),ianmahinmi
7611,2016-10-16,lower back injury (DTD),meyersleonard
7612,2016-10-16,sprained left thumb (DTD),chrispaul
7613,2016-10-16,bruised right hip (DTD),alexabrines
7614,2016-10-19,surgery to repair fractured nose (DTD),aronbaynes
7615,2016-10-20,sprained left ankle (DTD),marcussmart
7616,2016-10-21,surgery on left knee (out indefinitely) (date approximate),nerlensnoel
7617,2016-10-21,strained left quadricep (out indefinitely),dannygreen
7618,2016-10-22,left knee injury (out indefinitely),patrickbeverley
7619,2016-10-23,surgery on left foot to insert screw to repair stress fracture (out indefinitely),jaredsullinger
7620,2016-10-23,surgery on left knee (out indefinitely),patrickbeverley
7621,2016-10-24,sore left wrist (out indefinitely),jerrydbayless
7622,2016-10-24,sore left knee (out for season),festusezeli
7623,2016-10-24,sore ankle (DTD),shabazznapier
7624,2016-10-24,sore elbow (DTD),michaelbeasley
7625,2016-10-24,sore neck (DTD),cristianofelicio
7626,2016-10-24,concussion (DTD),kahlilfelderkayfelder
7627,2016-10-24,sprained ankle (DTD),paulpierce
7628,2016-10-24,sore ankle (DTD),brandanwright
7629,2016-10-24,sore right knee (DTD),chandlerparsons
7630,2016-10-24,bruised foot (DTD),jarellmartin
7632,2016-10-24,sore left foot (DTD),joshmcroberts
7633,2016-10-24,strained right quadriceps (DTD),wayneellington
7634,2016-10-24,sore left hamstring (DTD),brianroberts
7635,2016-10-24,strained right foot (DTD),frankkaminsky
7636,2016-10-24,sore leg (DTD),alecburks
7637,2016-10-24,sore left knee (DTD),derrickfavors
7638,2016-10-24,strained left calf (DTD),josecalderon
7639,2016-10-24,strained right big toe (DTD),devinharris
7640,2016-10-24,sore elbow (DTD),josejuanbareajosebareajjbarea
7641,2016-10-24,sore foot (DTD),carislevert
7642,2016-10-24,sore knee (DTD),darrellarthur
7643,2016-10-24,sore knee (DTD),aaronbrooks
7644,2016-10-24,sore knee (DTD),cjmiles
7645,2016-10-24,recovering from surgery on left knee (out for season),quincypondexter
7646,2016-10-24,recovering from surgery on right knee (out indefinitely),tyrekeevans
7647,2016-10-24,left knee injury (DTD),reggiejackson(b)
7648,2016-10-24,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),delonwright
7649,2016-10-24,sore ribs (DTD),jasonsmith
7650,2016-10-26,right knee injury (DTD),tonyallen
7652,2016-10-26,left knee injury (DTD),mikescott
7655,2016-10-26,sore knee (DTD),aaronbrooks
7658,2016-10-26,returned to lineup (date approximate),aronbaynes
7659,2016-10-26,sore/sprained left ankle (DTD),lucasnogueira
7660,2016-10-26,returned to lineup (date approximate),brandonknight
7661,2016-10-27,DNP (P),meyersleonard
7665,2016-10-28,sore ankle (DTD),ronbaker
7667,2016-10-28,sore right hamstring (DTD),rodneystuckey
7669,2016-10-29,strained left hamstring (DTD),jeremylamb
7670,2016-10-29,rest (DTD),brooklopez
7671,2016-10-29,sore right ankle (DTD),greivisvasquez
7672,2016-10-29,knee injury / rest (DTD),tonyparker
7673,2016-10-29,sore left ankle (DTD),patrickmccaw
7677,2016-10-31,sprained right elbow (DTD),rickyrubio
7678,2016-11-01,concussion (DTD),dougmcdermott
7679,2016-11-01,bone bruise in left knee (out indefinitely),michaelcarterwilliams
7680,2016-11-01,rest (DTD),marcgasol
7681,2016-11-01,rest (DTD),mikeconleyjr
7682,2016-11-01,arthrosopic surgery on left ankle (out indefinitely),alecburks
7683,2016-11-01,bruised right leg (DTD),borisdiaw
7684,2016-11-01,sore/sprained left ankle (DTD),willbarton
7685,2016-11-02,rehab of foot injury (DTD),joelembiid
7686,2016-11-02,sprained left ankle (DTD),jaecrowder
7687,2016-11-02,sore foot (DTD),jarellmartin
7690,2016-11-02,strep throat (DTD),christianwood
7691,2016-11-02,bruised right leg (DTD),borisdiaw
7692,2016-11-02,sore foot (DTD),wesleymatthewswesmatthewsjr
7694,2016-11-02,strained left hamstring (DTD),jeremylin
7695,2016-11-02,sore hip (DTD),dantecunningham
7697,2016-11-03,sprained right knee (DTD),anthonytolliver
7698,2016-11-03,sore right knee (DTD),tonyparker
7700,2016-11-04,sore right Achilles (DTD),dirknowitzki
7701,2016-11-05,torn groin muscle (surgery) (out indefinitely),lancestephenson
7702,2016-11-06,strained left calf (DTD),deronwilliams
7703,2016-11-06,bruised left knee (DTD),jonasvalanciunas
7705,2016-11-07,sprained right thumb (DTD),georgehill
7706,2016-11-07,concussion (DTD),larrynancejr
7707,2016-11-07,sore left hamstring (DTD),wilsonchandler
7708,2016-11-07,back injury (DTD),reggiebullock
7709,2016-11-08,sore left knee (DTD),darrellarthur
7710,2016-11-09,rehab of foot injury (DTD),joelembiid
7711,2016-11-09,rest (DTD),andrewbogut
7712,2016-11-09,rest (DTD),josejuanbareajosebareajjbarea
7713,2016-11-09,rest (DTD),wesleymatthewswesmatthewsjr
7714,2016-11-09,sprained/strained right index finger (DTD),terrenceross
7715,2016-11-09,right hamstring injury (DTD),bradleybeal
7717,2016-11-10,back injury (DTD),ivicazubac
7718,2016-11-11,sprained left ankle (DTD),gorandragic
7721,2016-11-12,rest (DTD),joelembiid
7722,2016-11-12,concussion (DTD),dougmcdermott
7724,2016-11-12,sore left ankle (DTD),lancethomas
7725,2016-11-12,concussion (DTD),isaiahwhitehead
7726,2016-11-12,tightness in right hamstring (DTD),bradleybeal
7727,2016-11-13,sprained right ankle (DTD),garyharris
7728,2016-11-13,sore right knee (DTD),zachlavine
7729,2016-11-13,sprained right big toe (DTD),brandonrush
7730,2016-11-14,sore/sprained left ankle (DTD),rajonrondo
7734,2016-11-14,sore toe on right foot (DTD),etwaunmoore
7735,2016-11-15,sprained left ankle (DTD),rajonrondo
7736,2016-11-15,sore left wrist (DTD),justisewinslow
7737,2016-11-15,sore left knee (DTD),derrickfavors
7738,2016-11-15,eye contusion (DTD),quincyacy
7740,2016-11-15,rest (DTD),demarrecarroll
7741,2016-11-15,sprained left knee (DTD),dewaynededmon
7744,2016-11-16,rest (DTD),lebronjames
7745,2016-11-16,arthroscopic surgery on left ankle (out indefinitely),brandanwright
7746,2016-11-16,bruised left quadricep (DTD),dwighthoward
7747,2016-11-16,sprained left knee (DTD),thabosefolosha
7749,2016-11-16,bruised right quadriceps (DTD),anthonydavis
7753,2016-11-17,sore/strained left Achilles (DTD),treveongraham
7754,2016-11-17,torn calf muscle in left leg / strained left calf (out indefinitely),josejuanbareajosebareajjbarea
7755,2016-11-17,strained left shoulder (DTD),alexisajincaalexajinca
7759,2016-11-18,strained left calf (DTD),deronwilliams
7760,2016-11-18,sore left knee (DTD),cjmiles
7764,2016-11-18,concussion (DTD),semajchriston
7765,2016-11-18,strained left hamstring (DTD),jeremylamb
7766,2016-11-18,ankle injury (DTD),ivicazubac
7768,2016-11-19,sore shoulder (DTD),codyzeller
7769,2016-11-19,sore left knee (DTD),cjmiles
7770,2016-11-19,sore calf (DTD),montrezlharrell
7771,2016-11-20,rest (DTD),dwyanewade
7772,2016-11-20,strained lower back (DTD),paulzipser
7773,2016-11-20,hyperextended right knee (DTD),williereed
7775,2016-11-20,sore left knee (DTD),cjmiles
7776,2016-11-20,sore left knee (DTD),kevinseraphin
7777,2016-11-21,sore left knee (DTD),dangelorussell
7778,2016-11-21,sore right calf (DTD),andrewbogut
7779,2016-11-21,sprained right ankle (DTD),mylesturner
7781,2016-11-21,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),delonwright
7782,2016-11-21,rest (DTD),demarrecarroll
7784,2016-11-21,sore knee / rest (DTD),tonyparker
7785,2016-11-21,rest (DTD),lamarcusaldridge
7786,2016-11-21,sprained right ankle (DTD),christianwood
7792,2016-11-23,right calf injury (DTD),jamesennis
7793,2016-11-23,rest (DTD),kylekorver
7797,2016-11-23,hip pointer (DTD),juliusrandle
7799,2016-11-23,sore right thigh (DTD),danilogallinari
7802,2016-11-23,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),delonwright
7804,2016-11-23,head injury (DTD),tjwarren
7805,2016-11-24,sprained right ankle (DTD),juanchohernangomezjuanhernangomez
7806,2016-11-24,fractured fibula in right leg (out indefinitely),dantecunningham
7807,2016-11-25,rest (DTD),joelembiid
7810,2016-11-25,wrist injury (DTD),michaelcarterwilliams
7812,2016-11-25,strained left elbow (DTD),gorandragic
7813,2016-11-25,sprained toe on left foot (DTD),nickyoung
7815,2016-11-25,sore right ankle (DTD),rondaehollisjefferson
7816,2016-11-25,sore/sprained right ankle (DTD),juanchohernangomezjuanhernangomez
7817,2016-11-25,sore left knee (DTD),kevinseraphin
7818,2016-11-25,sore back / left ankle (DTD),paulgeorge
7820,2016-11-25,recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD),delonwright
7821,2016-11-25,fractured right wrist (out indefinitely),danuelhouse
7822,2016-11-25,right foot injury (DTD),garyharris
7823,2016-11-26,corneal abrasion (DTD),nicolasbatum
7824,2016-11-26,bruised left ankle (DTD),draymondgreen
7825,2016-11-27,sore left wrist (out for season),jerrydbayless
7827,2016-11-27,sore/strained left hamstring (DTD),imanshumpert
7828,2016-11-27,strained right groin (DTD),dionwaiters
7830,2016-11-27,sore/strained right Achilles (DTD),dirknowitzki
7831,2016-11-27,sore left knee (DTD),kevinseraphin
7833,2016-11-27,sore left foot (DTD),jareddudley
7834,2016-11-27,rehab of left ankle (DTD),willbarton
7835,2016-11-28,rest (DTD),joelembiid
7836,2016-11-28,oral surgery to replace lost tooth (DTD),tylerjohnson
7841,2016-11-29,rest (DTD),blakegriffin
7842,2016-11-29,sore lower back (DTD),mikeconleyjr
7843,2016-11-29,sore right hip (DTD),vincecarter
7846,2016-11-29,sprained right ankle (DTD),henryellenson
7847,2016-11-30,sore left hip (DTD),paulmillsap
7848,2016-11-30,sore/sprained right ankle (DTD),joshrichardson
7851,2016-11-30,sprained left ankle (DTD),courtneylee
7852,2016-11-30,strained right calf (DTD),nickyoung
7856,2016-11-30,rest (DTD),tonyparker
7859,2016-12-01,back spasms (DTD),derrickwilliams
7860,2016-12-01,sprained left big toe (DTD),georgehill
7861,2016-12-01,strained right hamstring (DTD),rodneyhood
7862,2016-12-01,rest (DTD),andrewbogut
7863,2016-12-01,bruised/strained/sprained right knee (DTD),sethcurry
7864,2016-12-02,sprained left ankle (DTD),robertcovington
7866,2016-12-02,rest (DTD),jjredick
7869,2016-12-02,rest (DTD),demarrecarroll
7870,2016-12-03,rest (DTD),joelembiid
7871,2016-12-03,sprained left knee (DTD),robertcovington
7875,2016-12-03,bruised/sore right knee (DTD),larrynancejr
7883,2016-12-05,gastroenteritis (DTD),jahlilokafor
7886,2016-12-05,bruised / hyperextended (CBC) left knee (DTD),jrsmith
7887,2016-12-05,strained rotator cuff in right shoulder (DTD),jamesjohnson
7889,2016-12-05,sore toe (DTD),etwaunmoore
7890,2016-12-05,turf toe (DTD),jrueholiday
7891,2016-12-05,left ankle injury (DTD),brandanwright
7892,2016-12-05,sore foot (DTD),carislevert
7893,2016-12-06,rest (DTD),joelembiid
7894,2016-12-06,sore/strained groin (DTD),isaiahthomas
7895,2016-12-06,strained right hip flexor (DTD),lukebabbitt
7896,2016-12-06,sprained right ankle (DTD),tarikblack
7897,2016-12-06,bone bruise in right knee (DTD),andrewbogut
7898,2016-12-06,rest (DTD),emanuelginobilimanuginobili
7899,2016-12-07,sore ankle (DTD),rodneymcgruder
7900,2016-12-07,strained/sore right hamstring (DTD),rodneyhood
7903,2016-12-07,bruised left quadricep (DTD),jamalmurray
7906,2016-12-08,left finger injury (DTD),gordonhayward
7907,2016-12-09,rest (DTD),mattbarnes
7909,2016-12-09,sore right knee (DTD),brunocaboclo
7910,2016-12-09,rest (DTD),demarrecarroll
7911,2016-12-10,right elbow inflammation / rest (DTD),joelembiid
7912,2016-12-10,back injury (DTD),alfarouqaminu
7913,2016-12-10,sore right knee (DTD),blakegriffin
7917,2016-12-10,migraine headache (DTD),justinhamilton(b)
7918,2016-12-10,right hip injury (DTD),wilsonchandler
7919,2016-12-10,rest (DTD),anthonydavis
7920,2016-12-10,bruised right wrist (DTD),zaurpachuliazazapachulia
7921,2016-12-11,flu/gastroenteritis (DTD),sergiorodriguez
7923,2016-12-11,concussion (DTD),austinrivers
7930,2016-12-12,rest (DTD),mattbarnes
7931,2016-12-12,sore knee (DTD),darrellarthur
7934,2016-12-12,bruised right hip (DTD),alexlen
7935,2016-12-13,rest (DTD),marcgasol
7937,2016-12-13,sprained right wrist (DTD),victoroladipo
7938,2016-12-14,sprained left ankle (DTD),nerlensnoel
7941,2016-12-14,sprained left foot (DTD),michaelbeasley
7942,2016-12-14,rest (DTD),kevinlove
7943,2016-12-14,rest (DTD),lebronjames
7944,2016-12-14,sprained right shoulder (DTD),lucrichardmbahamoutelucmbahamoute
7946,2016-12-14,plantar fasciitis in left foot (DTD),deyontadavis
7951,2016-12-14,rest (DTD),demarcuscousins
7953,2016-12-14,back spasms (DTD),derrickrose
7954,2016-12-14,sprained right wrist (DTD),timfrazier
7955,2016-12-14,sore right knee (DTD),lucasnogueira
7956,2016-12-14,sore left foot (DTD),markieffmorris
7957,2016-12-15,surgery on left wrist to repair torn ligament (out for season),jerrydbayless
7958,2016-12-15,sore/strained left hamstring (DTD),rodneystuckey
7959,2016-12-16,sore right knee (DTD),hollisthompson
7961,2016-12-16,torn ACL in right knee (out for season),chrisandersen
7968,2016-12-17,strained right hamstring (DTD),wayneellington
7970,2016-12-17,sore right ankle (DTD),tarikblack
7972,2016-12-18,sore left knee (DTD),nikstauskas
7979,2016-12-18,strained right hamstring (DTD),jasonsmith
7980,2016-12-18,concussion (DTD),kellyoubre
7981,2016-12-19,bruised left knee (DTD),kevinlove
7982,2016-12-19,arthroscopic surgery on right knee (out indefinitely) (date approximate),blakegriffin
7983,2016-12-19,sprained left ankle (DTD),rodneymcgruder
7984,2016-12-19,fractured fibula in left leg (out indefinitely),clintcapela
7988,2016-12-20,sprained left ankle (DTD),evanturner
7989,2016-12-20,rehab of left knee (DTD),derrickfavors
7991,2016-12-20,sore left foot (DTD),isaiahwhitehead
7993,2016-12-21,fractured right thumb (out indefinitely),jrsmith
7994,2016-12-21,sore groin (DTD),timhardawayjr
7995,2016-12-21,patellar tendinitis in left knee (DTD),danteexum
7997,2016-12-21,bone bruise in left knee (DTD),larrynancejr
7998,2016-12-22,bone bruise in left knee (DTD),larrynancejr
7999,2016-12-23,bruised right knee (DTD),nikstauskas
8000,2016-12-23,concussion (DTD),richaunholmes
8001,2016-12-23,surgery on right thumb to repair fracture (out indefinitely),jrsmith
8002,2016-12-23,recovering from surgery on right thumb to repair fracture (out indefinitely),jrsmith
8004,2016-12-23,strained left hamstring (DTD),chrispaul
8009,2016-12-23,rest (DTD),tonyparker
8010,2016-12-23,sprained left foot (DTD),michaelbeasley
8011,2016-12-23,sprained right ankle (DTD),tarikblack
8012,2016-12-24,sprained left ankle (DTD),marcobelinelli
8015,2016-12-26,concussion (DTD),mirzateletovic
8018,2016-12-26,rest (DTD),lebronjames
8019,2016-12-26,sore left hamstring (DTD),jjredick
8022,2016-12-27,sore left hip (DTD),geraldhenderson(b)
8023,2016-12-27,rest (DTD),chandlerparsons
8024,2016-12-27,left big toe injury (DTD),mikeconleyjr
8025,2016-12-27,back spasms (DTD),gorandragic
8026,2016-12-27,stress fracture in left foot (DTD),joshmcroberts
8029,2016-12-27,sore right wrist (DTD),courtneylee
8030,2016-12-27,strained left hamstring (DTD),jeremylin
8031,2016-12-27,sore left hamstring (DTD),rodneystuckey
8032,2016-12-27,bruised left quadricep (DTD),patrickbeverley
8035,2016-12-28,hip pointer (DTD),joeharris
8036,2016-12-28,gastroenteritis (DTD),kawhileonard
8037,2016-12-28,right ankle injury (DTD),bradleybeal
8039,2016-12-29,rest (DTD),joelembiid
8043,2016-12-29,strained left knee (DTD),patrickpatterson
8044,2016-12-30,tightness in left hamstring (DTD),jahlilokafor
8045,2016-12-30,sprained left ankle (DTD),sergiorodriguez
8046,2016-12-30,strained right hamstring (DTD),matthewdellavedovamattdellavedova
8049,2016-12-30,sore left hamstring (DTD),chrispaul
8051,2016-12-30,back spasms (DTD),gorandragic
